distributor_name,distributor_location,brand_name,box_id,product_id,instock_date,outstock_date,retailor_name,retailor_location
Universal spirites,"Mapusa, Goa",Old Monk rum,JSB13,JSP52,2021-01-25,2021-01-30,Fortune spirits,Hal 2nd stage-indranagar
Brindco sales ltd.,"Guindy, chennai",McDowell’s to brandy,JSB14,JSP53,2021-01-10,2021-01-15,Honey drops wine,Besava nagar
Brindco sales ltd.,"Guindy, chennai",McDowell’s to brandy,JSB14,JSP54,2021-01-10,2021-01-15,Honey drops wine,Besava nagar
Brindco sales ltd.,"Guindy, chennai",McDowell’s to brandy,JSB14,JSP55,2021-01-10,2021-01-15,Honey drops wine,Besava nagar
Brindco sales ltd.,"Guindy, chennai",McDowell’s to brandy,JSB14,JSP56,2021-01-10,2021-01-15,Honey drops wine,Besava nagar
Rajadhani scotch yard,"Banashankari 3rd Stage, Bengaluru",Old Monk rum,JSB15,JSP57,2021-01-16,2021-01-18,Dewars wine stores,Outer ring road bellandur
Rajadhani scotch yard,"Banashankari 3rd Stage, Bengaluru",Old Monk rum,JSB15,JSP58,2021-01-16,2021-01-18,Dewars wine stores,Outer ring road bellandur
Rajadhani scotch yard,"Banashankari 3rd Stage, Bengaluru",Old Monk rum,JSB15,JSP59,2021-01-16,2021-01-18,Dewars wine stores,Outer ring road bellandur
Rajadhani scotch yard,"Banashankari 3rd Stage, Bengaluru",Old Monk rum,JSB15,JSP60,2021-01-16,2021-01-18,Dewars wine stores,Outer ring road bellandur
Vinbros & co,"Pondicherry ho, Pondicherry",Bagpiper whiskey,JSB16,JSP61,2021-01-11,2021-01-15,liquor mart,Bengaluru whitefield
Vinbros & co,"Pondicherry ho, Pondicherry",Bagpiper whiskey,JSB16,JSP62,2021-01-11,2021-01-15,liquor mart,Bengaluru whitefield
Vinbros & co,"Pondicherry ho, Pondicherry",Bagpiper whiskey,JSB16,JSP63,2021-01-11,2021-01-15,liquor mart,Bengaluru whitefield
Vinbros & co,"Pondicherry ho, Pondicherry",Bagpiper whiskey,JSB16,JSP64,2021-01-11,2021-01-15,liquor mart,Bengaluru whitefield
Kyndal india pvt. ltd.,"Hal 2nd Stage Indranagar, Bengaluru",McDowell’s to brandy,JSB17,JSP65,2021-01-13,2021-01-17,Sams wine and spirits,Rathnams complex shanthala nagar
Kyndal india pvt. ltd.,"Hal 2nd Stage Indranagar, Bengaluru",McDowell’s to brandy,JSB17,JSP66,2021-01-13,2021-01-17,Sams wine and spirits,Rathnams complex shanthala nagar
Kyndal india pvt. ltd.,"Hal 2nd Stage Indranagar, Bengaluru",McDowell’s to brandy,JSB17,JSP67,2021-01-13,2021-01-17,Sams wine and spirits,Rathnams complex shanthala nagar
Kyndal india pvt. ltd.,"Hal 2nd Stage Indranagar, Bengaluru",McDowell’s to brandy,JSB17,JSP68,2021-01-13,2021-01-17,Sams wine and spirits,Rathnams complex shanthala nagar
Universal spirites,"Mapusa, Goa",Old Monk rum,JSB18,JSP69,2021-01-08,2021-01-12,Spirits of suraloka,No.25 St marks road
Universal spirites,"Mapusa, Goa",Old Monk rum,JSB18,JSP70,2021-01-08,2021-01-12,Spirits of suraloka,No.25 St marks road
Universal spirites,"Mapusa, Goa",Old Monk rum,JSB18,JSP71,2021-01-08,2021-01-12,Spirits of suraloka,No.25 St marks road
Universal spirites,"Mapusa, Goa",Old Monk rum,JSB18,JSP72,2021-01-08,2021-01-12,Spirits of suraloka,No.25 St marks road
Kyndal india pvt. ltd.,"Hal 2nd Stage Indranagar, Bengaluru",Old Monk rum,JSB19,JSP73,2021-01-07,2021-01-12,Duty free,No.25 St marks road
Kyndal india pvt. ltd.,"Hal 2nd Stage Indranagar, Bengaluru",Old Monk rum,JSB19,JSP74,2021-01-07,2021-01-12,Duty free,No.25 St marks road
Kyndal india pvt. ltd.,"Hal 2nd Stage Indranagar, Bengaluru",Old Monk rum,JSB19,JSP75,2021-01-07,2021-01-12,Duty free,No.25 St marks road
Kyndal india pvt. ltd.,"Hal 2nd Stage Indranagar, Bengaluru",Old Monk rum,JSB19,JSP76,2021-01-07,2021-01-12,Duty free,No.25 St marks road
Dewars wine store,"No.25 St Marks Road, Bengaluru",McDowell’s to brandy,JSB20,JSP77,2021-01-31,2021-02-03,Dewars wine stores,No.25 St marks road
Dewars wine store,"No.25 St Marks Road, Bengaluru",McDowell’s to brandy,JSB20,JSP78,2021-01-31,2021-02-03,Dewars wine stores,No.25 St marks road
Dewars wine store,"No.25 St Marks Road, Bengaluru",McDowell’s to brandy,JSB20,JSP79,2021-01-31,2021-02-03,Dewars wine stores,No.25 St marks road
Dewars wine store,"No.25 St Marks Road, Bengaluru",McDowell’s to brandy,JSB20,JSP80,2021-01-31,2021-02-03,Dewars wine stores,No.25 St marks road
Dlr wines,"Lingampally, Hyderabad",McDowell’s to brandy,JSB21,JSP81,2021-01-08,2021-01-12,Duty free,16th btm layout second stage
Dlr wines,"Lingampally, Hyderabad",McDowell’s to brandy,JSB21,JSP82,2021-01-08,2021-01-12,Duty free,16th btm layout second stage
Dlr wines,"Lingampally, Hyderabad",McDowell’s to brandy,JSB21,JSP83,2021-01-08,2021-01-12,Duty free,16th btm layout second stage
Dlr wines,"Lingampally, Hyderabad",McDowell’s to brandy,JSB21,JSP84,2021-01-08,2021-01-12,Duty free,16th btm layout second stage
Universal spirites,"Mapusa, Goa",McDowell’s to brandy,JSB22,JSP85,2021-01-13,2021-01-17,The winery,Bengaluru hsr layout
Universal spirites,"Mapusa, Goa",McDowell’s to brandy,JSB22,JSP86,2021-01-13,2021-01-17,The winery,Bengaluru hsr layout
Universal spirites,"Mapusa, Goa",McDowell’s to brandy,JSB22,JSP87,2021-01-13,2021-01-17,The winery,Bengaluru hsr layout
Universal spirites,"Mapusa, Goa",McDowell’s to brandy,JSB22,JSP88,2021-01-13,2021-01-17,The winery,Bengaluru hsr layout
Rajadhani scotch yard,"Banashankari 3rd Stage, Bengaluru",Old Monk rum,JSB23,JSP89,2021-01-17,,,
Rajadhani scotch yard,"Banashankari 3rd Stage, Bengaluru",Old Monk rum,JSB23,JSP90,2021-01-17,,,
Rajadhani scotch yard,"Banashankari 3rd Stage, Bengaluru",Old Monk rum,JSB23,JSP91,2021-01-17,,,
Rajadhani scotch yard,"Banashankari 3rd Stage, Bengaluru",Old Monk rum,JSB23,JSP92,2021-01-17,,,
Dewars wine store,"No.25 St Marks Road, Bengaluru",Old Monk rum,JSB24,JSP93,2021-01-12,2021-01-14,Duty free,No.25 St marks road
Dewars wine store,"No.25 St Marks Road, Bengaluru",Old Monk rum,JSB24,JSP94,2021-01-12,2021-01-14,Duty free,No.25 St marks road
Dewars wine store,"No.25 St Marks Road, Bengaluru",Old Monk rum,JSB24,JSP95,2021-01-12,2021-01-14,Duty free,No.25 St marks road
Dewars wine store,"No.25 St Marks Road, Bengaluru",Old Monk rum,JSB24,JSP96,2021-01-12,2021-01-14,Duty free,No.25 St marks road
Brindco sales ltd.,"Guindy, chennai",McDowell’s to brandy,JSB26,JSP101,2021-01-13,2021-01-17,Youb spirits,Outer ring road bellandur
Brindco sales ltd.,"Guindy, chennai",McDowell’s to brandy,JSB26,JSP102,2021-01-13,2021-01-17,Youb spirits,Outer ring road bellandur
Brindco sales ltd.,"Guindy, chennai",McDowell’s to brandy,JSB26,JSP103,2021-01-13,2021-01-17,Youb spirits,Outer ring road bellandur
Brindco sales ltd.,"Guindy, chennai",McDowell’s to brandy,JSB26,JSP104,2021-01-13,2021-01-17,Youb spirits,Outer ring road bellandur
Brindco sales ltd.,"Guindy, chennai",Old Monk rum,JSB27,JSP105,2021-01-31,2021-02-03,Sams wine and spirits,6th sector hsr layout
Brindco sales ltd.,"Guindy, chennai",Old Monk rum,JSB27,JSP106,2021-01-31,2021-02-03,Sams wine and spirits,6th sector hsr layout
Brindco sales ltd.,"Guindy, chennai",Old Monk rum,JSB27,JSP107,2021-01-31,2021-02-03,Sams wine and spirits,6th sector hsr layout
Brindco sales ltd.,"Guindy, chennai",Old Monk rum,JSB27,JSP108,2021-01-31,2021-02-03,Sams wine and spirits,6th sector hsr layout
Vinbros & co,"Pondicherry ho, Pondicherry",Old Monk rum,JSB28,JSP109,2021-01-18,2021-01-22,Sams wine and spirits,Bengaluru whitefield
Vinbros & co,"Pondicherry ho, Pondicherry",Old Monk rum,JSB28,JSP110,2021-01-18,2021-01-22,Sams wine and spirits,Bengaluru whitefield
Vinbros & co,"Pondicherry ho, Pondicherry",Old Monk rum,JSB28,JSP111,2021-01-18,2021-01-22,Sams wine and spirits,Bengaluru whitefield
Vinbros & co,"Pondicherry ho, Pondicherry",Old Monk rum,JSB28,JSP112,2021-01-18,2021-01-22,Sams wine and spirits,Bengaluru whitefield
Rajadhani scotch yard,"Banashankari 3rd Stage, Bengaluru",Old Monk rum,JSB29,JSP113,2021-01-15,2021-01-20,Natures basket,C block brookefield
Rajadhani scotch yard,"Banashankari 3rd Stage, Bengaluru",Old Monk rum,JSB29,JSP114,2021-01-15,2021-01-20,Natures basket,C block brookefield
Rajadhani scotch yard,"Banashankari 3rd Stage, Bengaluru",Old Monk rum,JSB29,JSP115,2021-01-15,2021-01-20,Natures basket,C block brookefield
Rajadhani scotch yard,"Banashankari 3rd Stage, Bengaluru",Old Monk rum,JSB29,JSP116,2021-01-15,2021-01-20,Natures basket,C block brookefield
Gaurish liquor agencies,"Ponda, Goa",McDowell’s to brandy,JSB30,JSP117,2021-01-30,2021-02-05,Fortune spirits,Bengaluru hsr layout
Gaurish liquor agencies,"Ponda, Goa",McDowell’s to brandy,JSB30,JSP118,2021-01-30,2021-02-05,Fortune spirits,Bengaluru hsr layout
Gaurish liquor agencies,"Ponda, Goa",McDowell’s to brandy,JSB30,JSP119,2021-01-30,2021-02-05,Fortune spirits,Bengaluru hsr layout
Gaurish liquor agencies,"Ponda, Goa",McDowell’s to brandy,JSB30,JSP120,2021-01-30,2021-02-05,Fortune spirits,Bengaluru hsr layout
Gaurish liquor agencies,"Ponda, Goa",McDowell’s to brandy,JSB31,JSP121,2021-02-09,2021-02-10,Honey dew drop spirits,C block brookefield
Gaurish liquor agencies,"Ponda, Goa",McDowell’s to brandy,JSB31,JSP122,2021-02-09,2021-02-10,Honey dew drop spirits,C block brookefield
Gaurish liquor agencies,"Ponda, Goa",McDowell’s to brandy,JSB31,JSP123,2021-02-09,2021-02-10,Honey dew drop spirits,C block brookefield
Gaurish liquor agencies,"Ponda, Goa",McDowell’s to brandy,JSB31,JSP124,2021-02-09,2021-02-10,Honey dew drop spirits,C block brookefield
Vinbros & co,"Pondicherry ho, Pondicherry",McDowell’s to brandy,JSB32,JSP125,2021-01-18,2021-01-22,Fortune spirits,C block brookefield
Vinbros & co,"Pondicherry ho, Pondicherry",McDowell’s to brandy,JSB32,JSP126,2021-01-18,2021-01-22,Fortune spirits,C block brookefield
Vinbros & co,"Pondicherry ho, Pondicherry",McDowell’s to brandy,JSB32,JSP127,2021-01-18,2021-01-22,Fortune spirits,C block brookefield
Vinbros & co,"Pondicherry ho, Pondicherry",McDowell’s to brandy,JSB32,JSP128,2021-01-18,2021-01-22,Fortune spirits,C block brookefield
Rajadhani scotch yard,"Banashankari 3rd Stage, Bengaluru",Bagpiper whiskey,JSB33,JSP129,2021-01-17,2021-01-17,Svr liquor boutique,No. 33/1A hosur main road
Rajadhani scotch yard,"Banashankari 3rd Stage, Bengaluru",Bagpiper whiskey,JSB33,JSP130,2021-01-17,2021-01-17,Svr liquor boutique,No. 33/1A hosur main road
Rajadhani scotch yard,"Banashankari 3rd Stage, Bengaluru",Bagpiper whiskey,JSB33,JSP131,2021-01-17,2021-01-17,Svr liquor boutique,No. 33/1A hosur main road
Rajadhani scotch yard,"Banashankari 3rd Stage, Bengaluru",Bagpiper whiskey,JSB33,JSP132,2021-01-17,2021-01-17,Svr liquor boutique,No. 33/1A hosur main road
Dlr wines,"Lingampally, Hyderabad",Old Monk rum,JSB34,JSP133,2021-02-05,2021-02-08,Dewars wine stores,feet road koaramanagala 5th block
Dlr wines,"Lingampally, Hyderabad",Old Monk rum,JSB34,JSP134,2021-02-05,2021-02-08,Dewars wine stores,feet road koaramanagala 5th block
Dlr wines,"Lingampally, Hyderabad",Old Monk rum,JSB34,JSP135,2021-02-05,2021-02-08,Dewars wine stores,feet road koaramanagala 5th block
Dlr wines,"Lingampally, Hyderabad",Old Monk rum,JSB34,JSP136,2021-02-05,2021-02-08,Dewars wine stores,feet road koaramanagala 5th block
Diamond wines,"Kedari Nagar-wanowrie, Pune",Bagpiper whiskey,JSB35,JSP137,2021-01-15,2021-01-20,house of spirits,6th sector hsr layout
Diamond wines,"Kedari Nagar-wanowrie, Pune",Bagpiper whiskey,JSB35,JSP138,2021-01-15,2021-01-20,house of spirits,6th sector hsr layout
Diamond wines,"Kedari Nagar-wanowrie, Pune",Bagpiper whiskey,JSB35,JSP139,2021-01-15,2021-01-20,house of spirits,6th sector hsr layout
Diamond wines,"Kedari Nagar-wanowrie, Pune",Bagpiper whiskey,JSB35,JSP140,2021-01-15,2021-01-20,house of spirits,6th sector hsr layout
Dlr wines,"Lingampally, Hyderabad",McDowell’s to brandy,JSB36,JSP141,2021-01-31,2021-02-03,Dewars wine stores,Rathnams complex shanthala nagar
Dlr wines,"Lingampally, Hyderabad",McDowell’s to brandy,JSB36,JSP142,2021-01-31,2021-02-03,Dewars wine stores,Rathnams complex shanthala nagar
Dlr wines,"Lingampally, Hyderabad",McDowell’s to brandy,JSB36,JSP143,2021-01-31,2021-02-03,Dewars wine stores,Rathnams complex shanthala nagar
Dlr wines,"Lingampally, Hyderabad",McDowell’s to brandy,JSB36,JSP144,2021-01-31,2021-02-03,Dewars wine stores,Rathnams complex shanthala nagar
Diamond wines,"Kedari Nagar-wanowrie, Pune",Old Monk rum,JSB37,JSP145,2021-01-21,2021-01-21,Dewars wine stores,16th btm layout second stage
Diamond wines,"Kedari Nagar-wanowrie, Pune",Old Monk rum,JSB37,JSP146,2021-01-21,2021-01-21,Dewars wine stores,16th btm layout second stage
Diamond wines,"Kedari Nagar-wanowrie, Pune",Old Monk rum,JSB37,JSP147,2021-01-21,2021-01-21,Dewars wine stores,16th btm layout second stage
Diamond wines,"Kedari Nagar-wanowrie, Pune",Old Monk rum,JSB37,JSP148,2021-01-21,2021-01-21,Dewars wine stores,16th btm layout second stage
Symphony wines,"Girgaon, Mumbai",Old Monk rum,JSB38,JSP149,2021-01-30,2021-02-05,Honey dew drop spirits,16th btm layout second stage
Symphony wines,"Girgaon, Mumbai",Old Monk rum,JSB38,JSP150,2021-01-30,2021-02-05,Honey dew drop spirits,16th btm layout second stage
Symphony wines,"Girgaon, Mumbai",Old Monk rum,JSB38,JSP151,2021-01-30,2021-02-05,Honey dew drop spirits,16th btm layout second stage
Symphony wines,"Girgaon, Mumbai",Old Monk rum,JSB38,JSP152,2021-01-30,2021-02-05,Honey dew drop spirits,16th btm layout second stage
Vinbros & co,"Pondicherry ho, Pondicherry",Old Monk rum,JSB39,JSP153,2021-01-22,2021-01-27,Fortune spirits,17th cross hsr layout sector 4
Vinbros & co,"Pondicherry ho, Pondicherry",Old Monk rum,JSB39,JSP154,2021-01-22,2021-01-27,Fortune spirits,17th cross hsr layout sector 4
Vinbros & co,"Pondicherry ho, Pondicherry",Old Monk rum,JSB39,JSP155,2021-01-22,2021-01-27,Fortune spirits,17th cross hsr layout sector 4
Vinbros & co,"Pondicherry ho, Pondicherry",Old Monk rum,JSB39,JSP156,2021-01-22,2021-01-27,Fortune spirits,17th cross hsr layout sector 4
Rajadhani scotch yard,"Banashankari 3rd Stage, Bengaluru",Old Monk rum,JSB40,JSP157,2021-01-20,2021-01-22,La cave fine wines & spirits,Outer ring road bellandur
Rajadhani scotch yard,"Banashankari 3rd Stage, Bengaluru",Old Monk rum,JSB40,JSP158,2021-01-20,2021-01-22,La cave fine wines & spirits,Outer ring road bellandur
Rajadhani scotch yard,"Banashankari 3rd Stage, Bengaluru",Old Monk rum,JSB40,JSP159,2021-01-20,2021-01-22,La cave fine wines & spirits,Outer ring road bellandur
Rajadhani scotch yard,"Banashankari 3rd Stage, Bengaluru",Old Monk rum,JSB40,JSP160,2021-01-20,2021-01-22,La cave fine wines & spirits,Outer ring road bellandur
Universal spirites,"Mapusa, Goa",Bagpiper whiskey,JSB41,JSP161,2021-01-24,2021-01-27,Natures basket,feet road koaramanagala 5th block
Universal spirites,"Mapusa, Goa",Bagpiper whiskey,JSB41,JSP162,2021-01-24,2021-01-27,Natures basket,feet road koaramanagala 5th block
Universal spirites,"Mapusa, Goa",Bagpiper whiskey,JSB41,JSP163,2021-01-24,2021-01-27,Natures basket,feet road koaramanagala 5th block
Universal spirites,"Mapusa, Goa",Bagpiper whiskey,JSB41,JSP164,2021-01-24,2021-01-27,Natures basket,feet road koaramanagala 5th block
Rajadhani scotch yard,"Banashankari 3rd Stage, Bengaluru",McDowell’s to brandy,JSB42,JSP165,2021-01-20,2021-01-22,Metro Cash & Carry,Devanahalli
Rajadhani scotch yard,"Banashankari 3rd Stage, Bengaluru",McDowell’s to brandy,JSB42,JSP166,2021-01-20,2021-01-22,Metro Cash & Carry,Devanahalli
Rajadhani scotch yard,"Banashankari 3rd Stage, Bengaluru",McDowell’s to brandy,JSB42,JSP167,2021-01-20,2021-01-22,Metro Cash & Carry,Devanahalli
Rajadhani scotch yard,"Banashankari 3rd Stage, Bengaluru",McDowell’s to brandy,JSB42,JSP168,2021-01-20,2021-01-22,Metro Cash & Carry,Devanahalli
Dlr wines,"Lingampally, Hyderabad",Bagpiper whiskey,JSB43,JSP169,2021-02-02,2021-02-04,Honey drops wine,Besava nagar
Dlr wines,"Lingampally, Hyderabad",Bagpiper whiskey,JSB43,JSP170,2021-02-02,2021-02-04,Honey drops wine,Besava nagar
Dlr wines,"Lingampally, Hyderabad",Bagpiper whiskey,JSB43,JSP171,2021-02-02,2021-02-04,Honey drops wine,Besava nagar
Dlr wines,"Lingampally, Hyderabad",Bagpiper whiskey,JSB43,JSP172,2021-02-02,2021-02-04,Honey drops wine,Besava nagar
Dewars wine store,"No.25 St Marks Road, Bengaluru",McDowell’s to brandy,JSB44,JSP173,2021-01-26,2021-01-30,Tonique,100 feet road indiranagar
Dewars wine store,"No.25 St Marks Road, Bengaluru",McDowell’s to brandy,JSB44,JSP174,2021-01-26,2021-01-30,Tonique,100 feet road indiranagar
Dewars wine store,"No.25 St Marks Road, Bengaluru",McDowell’s to brandy,JSB44,JSP175,2021-01-26,2021-01-30,Tonique,100 feet road indiranagar
Dewars wine store,"No.25 St Marks Road, Bengaluru",McDowell’s to brandy,JSB44,JSP176,2021-01-26,2021-01-30,Tonique,100 feet road indiranagar
Diamond wines,"Kedari Nagar-wanowrie, Pune",McDowell’s to brandy,JSB45,JSP177,2021-01-17,2021-01-17,Fortune spirits,16th btm layout second stage
Diamond wines,"Kedari Nagar-wanowrie, Pune",McDowell’s to brandy,JSB45,JSP178,2021-01-17,2021-01-17,Fortune spirits,16th btm layout second stage
Diamond wines,"Kedari Nagar-wanowrie, Pune",McDowell’s to brandy,JSB45,JSP179,2021-01-17,2021-01-17,Fortune spirits,16th btm layout second stage
Diamond wines,"Kedari Nagar-wanowrie, Pune",McDowell’s to brandy,JSB45,JSP180,2021-01-17,2021-01-17,Fortune spirits,16th btm layout second stage
Brindco sales ltd.,"Guindy, chennai",Old Monk rum,JSB46,JSP181,2021-02-14,2021-02-20,Tonique,6th sector hsr layout
Brindco sales ltd.,"Guindy, chennai",Old Monk rum,JSB46,JSP182,2021-02-14,2021-02-20,Tonique,6th sector hsr layout
